datetime,datetime,year,month,day,random,sazonal,timeSeries
2004-01-01 00:00:00,2004-01-01 00:00:00,2004,1,1,0.9152465888818344,1.0,10.915246588881834
2004-01-01 01:00:00,2004-01-01 01:00:00,2004,1,1,0.6806220935520158,0.9999997588734665,10.68061968228668
2004-01-01 02:00:00,2004-01-01 02:00:00,2004,1,1,0.36939942204798804,0.9999990354939822,10.36938977698781
2004-01-01 03:00:00,2004-01-01 03:00:00,2004,1,1,0.709592059605214,0.999997829861896,10.709570358224173
2004-01-01 04:00:00,2004-01-01 04:00:00,2004,1,1,0.29424823526313226,0.9999961419777894,10.294209655041026
2004-01-01 05:00:00,2004-01-01 05:00:00,2004,1,1,0.48645298641509105,0.9999939718424762,10.486392704839854
2004-01-01 06:00:00,2004-01-01 06:00:00,2004,1,1,0.09060194874092908,0.9999913194570031,10.09051514331096
2004-01-01 07:00:00,2004-01-01 07:00:00,2004,1,1,0.8612985051665181,0.9999881848226492,10.86118035339301
2004-01-01 08:00:00,2004-01-01 08:00:00,2004,1,1,0.07084807437572394,0.9999845679409262,10.070693753784985
2004-01-01 09:00:00,2004-01-01 09:00:00,2004,1,1,0.7853097455873134,0.9999804688135782,10.785114433723095
2004-01-01 10:00:00,2004-01-01 10:00:00,2004,1,1,0.5744837990049303,0.9999758874425823,10.574242673430753
2004-01-01 11:00:00,2004-01-01 11:00:00,2004,1,1,0.9009760132656007,0.9999708238301476,10.900684251567077
2004-01-01 12:00:00,2004-01-01 12:00:00,2004,1,1,0.17412059388693013,0.9999652779787161,10.173773373674091
2004-01-01 13:00:00,2004-01-01 13:00:00,2004,1,1,0.570256560598129,0.9999592498909624,10.569849059507753
2004-01-01 14:00:00,2004-01-01 14:00:00,2004,1,1,0.4136317306521493,0.9999527395697936,10.413159126350084
2004-01-01 15:00:00,2004-01-01 15:00:00,2004,1,1,0.7860847968010138,0.9999457470183493,10.785542266984507
2004-01-01 16:00:00,2004-01-01 16:00:00,2004,1,1,0.8993683541362085,0.9999382722400014,10.898751076536223
2004-01-01 17:00:00,2004-01-01 17:00:00,2004,1,1,0.4074748718799005,0.9999303152383551,10.40677802426345
2004-01-01 18:00:00,2004-01-01 18:00:00,2004,1,1,0.23708946859645041,0.9999218760172474,10.236308228768923
2004-01-01 19:00:00,2004-01-01 19:00:00,2004,1,1,0.7890852302642785,0.999912954580748,10.78821477607176
2004-01-01 20:00:00,2004-01-01 20:00:00,2004,1,1,0.641180411113045,0.9999035509331596,10.640215920444641
2004-01-01 21:00:00,2004-01-01 21:00:00,2004,1,1,0.18879387524702507,0.9998936650790171,10.187730526037196
2004-01-01 22:00:00,2004-01-01 22:00:00,2004,1,1,0.024949241359337626,0.9998832970230879,10.023782211590216
2004-01-01 23:00:00,2004-01-01 23:00:00,2004,1,1,0.9553876565530226,0.9998724467703719,10.954112124256742
2004-01-02 00:00:00,2004-01-02 00:00:00,2004,1,2,0.7972426294907792,0.9998611143261019,10.795853772751798
2004-01-02 01:00:00,2004-01-02 01:00:00,2004,1,2,0.3291316925568145,0.9998492996957429,10.327624689514243
2004-01-02 02:00:00,2004-01-02 02:00:00,2004,1,2,0.13232928494117369,0.9998370028849926,10.1306993137911
2004-01-02 03:00:00,2004-01-02 03:00:00,2004,1,2,0.4238368645565379,0.999824223899781,10.422079103554347
2004-01-02 04:00:00,2004-01-02 04:00:00,2004,1,2,0.29625206264870063,0.9998109627462709,10.29436169011141
2004-01-02 05:00:00,2004-01-02 05:00:00,2004,1,2,0.25825732602953155,0.9997972194308576,10.256229520338108
2004-01-02 06:00:00,2004-01-02 06:00:00,2004,1,2,0.8932858169745366,0.9997829939601689,10.891115756576225
2004-01-02 07:00:00,2004-01-02 07:00:00,2004,1,2,0.02604793176894915,0.999768286341065,10.023730795179597
2004-01-02 08:00:00,2004-01-02 08:00:00,2004,1,2,0.37635253912202105,0.9997530965806385,10.373883504928406
2004-01-02 09:00:00,2004-01-02 09:00:00,2004,1,2,0.8342717305767411,0.999737424686215,10.83164597743889
