datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.9328366718486449,2022,1,1,1.0,10.932836671848644
2022-01-01 01:00:00,2022-01-01 01:00:00,0.18334435717256792,2022,1,1,0.9999997588734665,10.183341945907234
2022-01-01 02:00:00,2022-01-01 02:00:00,0.7057523774519143,2022,1,1,0.9999990354939822,10.705742732391736
2022-01-01 03:00:00,2022-01-01 03:00:00,0.6673530554959326,2022,1,1,0.999997829861896,10.667331354114893
2022-01-01 04:00:00,2022-01-01 04:00:00,0.33974446366481226,2022,1,1,0.9999961419777894,10.339705883442706
2022-01-01 05:00:00,2022-01-01 05:00:00,0.2530532327412479,2022,1,1,0.9999939718424762,10.25299295116601
2022-01-01 06:00:00,2022-01-01 06:00:00,0.2715578780778054,2022,1,1,0.9999913194570031,10.271471072647836
2022-01-01 07:00:00,2022-01-01 07:00:00,0.5440476908062198,2022,1,1,0.9999881848226492,10.543929539032712
2022-01-01 08:00:00,2022-01-01 08:00:00,0.22555625891810482,2022,1,1,0.9999845679409262,10.225401938327366
2022-01-01 09:00:00,2022-01-01 09:00:00,0.994894288006448,2022,1,1,0.9999804688135782,10.99469897614223
2022-01-01 10:00:00,2022-01-01 10:00:00,0.8699595564149646,2022,1,1,0.9999758874425823,10.869718430840788
2022-01-01 11:00:00,2022-01-01 11:00:00,0.5348106825722128,2022,1,1,0.9999708238301476,10.534518920873689
2022-01-01 12:00:00,2022-01-01 12:00:00,0.0325747188350578,2022,1,1,0.9999652779787161,10.03222749862222
2022-01-01 13:00:00,2022-01-01 13:00:00,0.43288779073745853,2022,1,1,0.9999592498909624,10.432480289647083
2022-01-01 14:00:00,2022-01-01 14:00:00,0.08773451525058251,2022,1,1,0.9999527395697936,10.087261910948518
2022-01-01 15:00:00,2022-01-01 15:00:00,0.9389735507951107,2022,1,1,0.9999457470183493,10.938431020978605
2022-01-01 16:00:00,2022-01-01 16:00:00,0.21181765923533002,2022,1,1,0.9999382722400014,10.211200381635344
2022-01-01 17:00:00,2022-01-01 17:00:00,0.1953271774929547,2022,1,1,0.9999303152383551,10.194630329876505
2022-01-01 18:00:00,2022-01-01 18:00:00,0.28896275772215674,2022,1,1,0.9999218760172474,10.28818151789463
2022-01-01 19:00:00,2022-01-01 19:00:00,0.9404635994626969,2022,1,1,0.999912954580748,10.939593145270178
2022-01-01 20:00:00,2022-01-01 20:00:00,0.3843990389813231,2022,1,1,0.9999035509331596,10.38343454831292
2022-01-01 21:00:00,2022-01-01 21:00:00,0.3535697012215938,2022,1,1,0.9998936650790171,10.352506352011764
2022-01-01 22:00:00,2022-01-01 22:00:00,0.7367836952924991,2022,1,1,0.9998832970230879,10.735616665523377
2022-01-01 23:00:00,2022-01-01 23:00:00,0.04020132921504038,2022,1,1,0.9998724467703719,10.03892579691876
2022-01-02 00:00:00,2022-01-02 00:00:00,0.4491665470942593,2022,1,2,0.9998611143261019,10.447777690355279
2022-01-02 01:00:00,2022-01-02 01:00:00,0.15004371746779877,2022,1,2,0.9998492996957429,10.148536714425228
2022-01-02 02:00:00,2022-01-02 02:00:00,0.8982410058085394,2022,1,2,0.9998370028849926,10.896611034658466
2022-01-02 03:00:00,2022-01-02 03:00:00,0.6178032606862479,2022,1,2,0.999824223899781,10.616045499684057
2022-01-02 04:00:00,2022-01-02 04:00:00,0.8648373830570977,2022,1,2,0.9998109627462709,10.862947010519807
2022-01-02 05:00:00,2022-01-02 05:00:00,0.2720420502608084,2022,1,2,0.9997972194308576,10.270014244569385
2022-01-02 06:00:00,2022-01-02 06:00:00,0.5293699745087849,2022,1,2,0.9997829939601689,10.527199914110474
2022-01-02 07:00:00,2022-01-02 07:00:00,0.5996479048210148,2022,1,2,0.999768286341065,10.597330768231664
2022-01-02 08:00:00,2022-01-02 08:00:00,0.6883632473157997,2022,1,2,0.9997530965806385,10.685894213122186
